=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: b                    | Type: IdentifierNode            | Symbol: Symbol{name='b', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='stack_pop', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(stack_pop) | Type: PathExprSegNode           | Symbol: Symbol{name='stack_pop', kind=FUNCTION, scopeLevel=0}
Node: stack_pop            | Type: IdentifierNode            | Symbol: Symbol{name='stack_pop', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='stack', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(stack)   | Type: PathExprSegNode           | Symbol: Symbol{name='stack', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: stack                | Type: IdentifierNode            | Symbol: Symbol{name='stack', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='top', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(top)     | Type: PathExprSegNode           | Symbol: Symbol{name='top', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: top                  | Type: IdentifierNode            | Symbol: Symbol{name='top', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='stack_push', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(stack_push) | Type: PathExprSegNode           | Symbol: Symbol{name='stack_push', kind=FUNCTION, scopeLevel=0}
Node: stack_push           | Type: IdentifierNode            | Symbol: Symbol{name='stack_push', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='stack', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(stack)   | Type: PathExprSegNode           | Symbol: Symbol{name='stack', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: stack                | Type: IdentifierNode            | Symbol: Symbol{name='stack', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='top', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(top)     | Type: PathExprSegNode           | Symbol: Symbol{name='top', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: top                  | Type: IdentifierNode            | Symbol: Symbol{name='top', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='a', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(a)       | Type: PathExprSegNode           | Symbol: Symbol{name='a', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: a                    | Type: IdentifierNode            | Symbol: Symbol{name='a', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='b', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(b)       | Type: PathExprSegNode           | Symbol: Symbol{name='b', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: b                    | Type: IdentifierNode            | Symbol: Symbol{name='b', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='stack_push', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(stack_push) | Type: PathExprSegNode           | Symbol: Symbol{name='stack_push', kind=FUNCTION, scopeLevel=0}
Node: stack_push           | Type: IdentifierNode            | Symbol: Symbol{name='stack_push', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='stack', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(stack)   | Type: PathExprSegNode           | Symbol: Symbol{name='stack', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: stack                | Type: IdentifierNode            | Symbol: Symbol{name='stack', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='top', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(top)     | Type: PathExprSegNode           | Symbol: Symbol{name='top', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: top                  | Type: IdentifierNode            | Symbol: Symbol{name='top', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='stack_push', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(stack_push) | Type: PathExprSegNode           | Symbol: Symbol{name='stack_push', kind=FUNCTION, scopeLevel=0}
Node: stack_push           | Type: IdentifierNode            | Symbol: Symbol{name='stack_push', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='stack', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(stack)   | Type: PathExprSegNode           | Symbol: Symbol{name='stack', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: stack                | Type: IdentifierNode            | Symbol: Symbol{name='stack', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='top', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(top)     | Type: PathExprSegNode           | Symbol: Symbol{name='top', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: top                  | Type: IdentifierNode            | Symbol: Symbol{name='top', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: c                    | Type: IdentifierNode            | Symbol: Symbol{name='c', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='stack_sum', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(stack_sum) | Type: PathExprSegNode           | Symbol: Symbol{name='stack_sum', kind=FUNCTION, scopeLevel=0}
Node: stack_sum            | Type: IdentifierNode            | Symbol: Symbol{name='stack_sum', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='stack', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(stack)   | Type: PathExprSegNode           | Symbol: Symbol{name='stack', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: stack                | Type: IdentifierNode            | Symbol: Symbol{name='stack', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='top', kind=LOCAL_VARIABLE, scopeLevel=2}
