=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: k                    | Type: IdentifierNode            | Symbol: Symbol{name='k', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='v', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(v)       | Type: PathExprSegNode           | Symbol: Symbol{name='v', kind=PARAMETER, scopeLevel=1}
Node: v                    | Type: IdentifierNode            | Symbol: Symbol{name='v', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='k', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(k)       | Type: PathExprSegNode           | Symbol: Symbol{name='k', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: k                    | Type: IdentifierNode            | Symbol: Symbol{name='k', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='k', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(k)       | Type: PathExprSegNode           | Symbol: Symbol{name='k', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: k                    | Type: IdentifierNode            | Symbol: Symbol{name='k', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='k', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(k)       | Type: PathExprSegNode           | Symbol: Symbol{name='k', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: k                    | Type: IdentifierNode            | Symbol: Symbol{name='k', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(V)       | Type: PathExprSegNode           | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: V                    | Type: IdentifierNode            | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: Function(main)       | Type: FunctionNode              | Symbol: Symbol{name='main', kind=FUNCTION, scopeLevel=0}
Node: main                 | Type: IdentifierNode            | Symbol: Symbol{name='main', kind=FUNCTION, scopeLevel=0}
Node: g                    | Type: IdentifierNode            | Symbol: Symbol{name='g', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(V)       | Type: PathExprSegNode           | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: V                    | Type: IdentifierNode            | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(V)       | Type: PathExprSegNode           | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: V                    | Type: IdentifierNode            | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: vmark                | Type: IdentifierNode            | Symbol: Symbol{name='vmark', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(V)       | Type: PathExprSegNode           | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: V                    | Type: IdentifierNode            | Symbol: Symbol{name='V', kind=CONSTANT, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='bfs', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(bfs)     | Type: PathExprSegNode           | Symbol: Symbol{name='bfs', kind=FUNCTION, scopeLevel=0}
Node: bfs                  | Type: IdentifierNode            | Symbol: Symbol{name='bfs', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='g', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(g)       | Type: PathExprSegNode           | Symbol: Symbol{name='g', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: g                    | Type: IdentifierNode            | Symbol: Symbol{name='g', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: full                 | Type: IdentifierNode            | Symbol: Symbol{name='full', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(bool)    | Type: PathExprSegNode           | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: bool                 | Type: IdentifierNode            | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='connected', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(connected) | Type: PathExprSegNode           | Symbol: Symbol{name='connected', kind=FUNCTION, scopeLevel=0}
Node: connected            | Type: IdentifierNode            | Symbol: Symbol{name='connected', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='vmark', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(vmark)   | Type: PathExprSegNode           | Symbol: Symbol{name='vmark', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: vmark                | Type: IdentifierNode            | Symbol: Symbol{name='vmark', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='full', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(full)    | Type: PathExprSegNode           | Symbol: Symbol{name='full', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: full                 | Type: IdentifierNode            | Symbol: Symbol{name='full', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: s                    | Type: IdentifierNode            | Symbol: Symbol{name='s', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: s                    | Type: IdentifierNode            | Symbol: Symbol{name='s', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='exit', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(exit)    | Type: PathExprSegNode           | Symbol: Symbol{name='exit', kind=FUNCTION, scopeLevel=0}
Node: exit                 | Type: IdentifierNode            | Symbol: Symbol{name='exit', kind=FUNCTION, scopeLevel=0}

=== Symbol Debug Summary ===
Total nodes visited: 203
Nodes with symbols: 203
Nodes without symbols: 0

Node type distribution:
  ConstItemNode: 1
  PathExprSegNode: 66
  IdentifierNode: 85
  FunctionNode: 3
  PathExprNode: 48
Type checking errors:
  Function body type mismatch: expected [i32; 6], got [usize; 6] in function 'bfs' at in function 'bfs' 
