=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='create_node', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(create_node) | Type: PathExprSegNode           | Symbol: Symbol{name='create_node', kind=FUNCTION, scopeLevel=0}
Node: create_node          | Type: IdentifierNode            | Symbol: Symbol{name='create_node', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='pool', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(pool)    | Type: PathExprSegNode           | Symbol: Symbol{name='pool', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: pool                 | Type: IdentifierNode            | Symbol: Symbol{name='pool', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: node2                | Type: IdentifierNode            | Symbol: Symbol{name='node2', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='create_node', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(create_node) | Type: PathExprSegNode           | Symbol: Symbol{name='create_node', kind=FUNCTION, scopeLevel=0}
Node: create_node          | Type: IdentifierNode            | Symbol: Symbol{name='create_node', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='pool', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(pool)    | Type: PathExprSegNode           | Symbol: Symbol{name='pool', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: pool                 | Type: IdentifierNode            | Symbol: Symbol{name='pool', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='pool', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(pool)    | Type: PathExprSegNode           | Symbol: Symbol{name='pool', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: pool                 | Type: IdentifierNode            | Symbol: Symbol{name='pool', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: nodes                | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='node1', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(node1)   | Type: PathExprSegNode           | Symbol: Symbol{name='node1', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: node1                | Type: IdentifierNode            | Symbol: Symbol{name='node1', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: next                 | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='node2', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(node2)   | Type: PathExprSegNode           | Symbol: Symbol{name='node2', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: node2                | Type: IdentifierNode            | Symbol: Symbol{name='node2', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: invalid_node         | Type: IdentifierNode            | Symbol: Symbol{name='invalid_node', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(Node)    | Type: PathExprSegNode           | Symbol: Symbol{name='Node', kind=STRUCT, scopeLevel=0}
Node: Node                 | Type: IdentifierNode            | Symbol: Symbol{name='Node', kind=STRUCT, scopeLevel=0}
Node: StructExpr           | Type: StructExprNode            | Symbol: Symbol{name='Node', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(Node)    | Type: PathExprSegNode           | Symbol: Symbol{name='Node', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: Node                 | Type: IdentifierNode            | Symbol: Symbol{name='Node', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: FieldVal(value)      | Type: FieldValNode              | Symbol: Symbol{name='value', kind=FIELD, scopeLevel=0}
Node: value                | Type: IdentifierNode            | Symbol: Symbol{name='value', kind=FIELD, scopeLevel=0}
Node: FieldVal(next)       | Type: FieldValNode              | Symbol: Symbol{name='next', kind=FIELD, scopeLevel=0}
Node: next                 | Type: IdentifierNode            | Symbol: Symbol{name='next', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='traverse_list', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(traverse_list) | Type: PathExprSegNode           | Symbol: Symbol{name='traverse_list', kind=FUNCTION, scopeLevel=0}
