=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: sum                  | Type: IdentifierNode            | Symbol: Symbol{name='sum', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(Vector2D) | Type: PathExprSegNode           | Symbol: Symbol{name='Vector2D', kind=STRUCT, scopeLevel=0}
Node: Vector2D             | Type: IdentifierNode            | Symbol: Symbol{name='Vector2D', kind=STRUCT, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='add_vectors', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(add_vectors) | Type: PathExprSegNode           | Symbol: Symbol{name='add_vectors', kind=FUNCTION, scopeLevel=0}
Node: add_vectors          | Type: IdentifierNode            | Symbol: Symbol{name='add_vectors', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='vec1', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(vec1)    | Type: PathExprSegNode           | Symbol: Symbol{name='vec1', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: vec1                 | Type: IdentifierNode            | Symbol: Symbol{name='vec1', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='vec2', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(vec2)    | Type: PathExprSegNode           | Symbol: Symbol{name='vec2', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: vec2                 | Type: IdentifierNode            | Symbol: Symbol{name='vec2', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: dot                  | Type: IdentifierNode            | Symbol: Symbol{name='dot', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='dot_product', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(dot_product) | Type: PathExprSegNode           | Symbol: Symbol{name='dot_product', kind=FUNCTION, scopeLevel=0}
Node: dot_product          | Type: IdentifierNode            | Symbol: Symbol{name='dot_product', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='vec1', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(vec1)    | Type: PathExprSegNode           | Symbol: Symbol{name='vec1', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: vec1                 | Type: IdentifierNode            | Symbol: Symbol{name='vec1', kind=LOCAL_VARIABLE, scopeLevel=2}
