=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='hash_function', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(hash_function) | Type: PathExprSegNode           | Symbol: Symbol{name='hash_function', kind=FUNCTION, scopeLevel=0}
Node: hash_function        | Type: IdentifierNode            | Symbol: Symbol{name='hash_function', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='key', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(key)     | Type: PathExprSegNode           | Symbol: Symbol{name='key', kind=PARAMETER, scopeLevel=1}
Node: key                  | Type: IdentifierNode            | Symbol: Symbol{name='key', kind=PARAMETER, scopeLevel=1}
Node: attempt              | Type: IdentifierNode            | Symbol: Symbol{name='attempt', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='attempt', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(attempt) | Type: PathExprSegNode           | Symbol: Symbol{name='attempt', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: attempt              | Type: IdentifierNode            | Symbol: Symbol{name='attempt', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: probe_hash           | Type: IdentifierNode            | Symbol: Symbol{name='probe_hash', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='quadratic_probe', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(quadratic_probe) | Type: PathExprSegNode           | Symbol: Symbol{name='quadratic_probe', kind=FUNCTION, scopeLevel=0}
Node: quadratic_probe      | Type: IdentifierNode            | Symbol: Symbol{name='quadratic_probe', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='base_hash', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(base_hash) | Type: PathExprSegNode           | Symbol: Symbol{name='base_hash', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: base_hash            | Type: IdentifierNode            | Symbol: Symbol{name='base_hash', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='attempt', kind=LOCAL_VARIABLE, scopeLevel=2}
