=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: is_prime             | Type: IdentifierNode            | Symbol: Symbol{name='is_prime', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='current', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(current) | Type: PathExprSegNode           | Symbol: Symbol{name='current', kind=PARAMETER, scopeLevel=1}
Node: current              | Type: IdentifierNode            | Symbol: Symbol{name='current', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='primes', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(primes)  | Type: PathExprSegNode           | Symbol: Symbol{name='primes', kind=PARAMETER, scopeLevel=1}
Node: primes               | Type: IdentifierNode            | Symbol: Symbol{name='primes', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='count', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(count)   | Type: PathExprSegNode           | Symbol: Symbol{name='count', kind=PARAMETER, scopeLevel=1}
Node: count                | Type: IdentifierNode            | Symbol: Symbol{name='count', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='current', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(current) | Type: PathExprSegNode           | Symbol: Symbol{name='current', kind=PARAMETER, scopeLevel=1}
Node: current              | Type: IdentifierNode            | Symbol: Symbol{name='current', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='count', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(count)   | Type: PathExprSegNode           | Symbol: Symbol{name='count', kind=PARAMETER, scopeLevel=1}
Node: count                | Type: IdentifierNode            | Symbol: Symbol{name='count', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='count', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(count)   | Type: PathExprSegNode           | Symbol: Symbol{name='count', kind=PARAMETER, scopeLevel=1}
Node: count                | Type: IdentifierNode            | Symbol: Symbol{name='count', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='sieve_recursive', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(sieve_recursive) | Type: PathExprSegNode           | Symbol: Symbol{name='sieve_recursive', kind=FUNCTION, scopeLevel=0}
Node: sieve_recursive      | Type: IdentifierNode            | Symbol: Symbol{name='sieve_recursive', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='base', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(base)    | Type: PathExprSegNode           | Symbol: Symbol{name='base', kind=PARAMETER, scopeLevel=1}
Node: base                 | Type: IdentifierNode            | Symbol: Symbol{name='base', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='limit', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(limit)   | Type: PathExprSegNode           | Symbol: Symbol{name='limit', kind=PARAMETER, scopeLevel=1}
Node: limit                | Type: IdentifierNode            | Symbol: Symbol{name='limit', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='primes', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(primes)  | Type: PathExprSegNode           | Symbol: Symbol{name='primes', kind=PARAMETER, scopeLevel=1}
Node: primes               | Type: IdentifierNode            | Symbol: Symbol{name='primes', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='count', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(count)   | Type: PathExprSegNode           | Symbol: Symbol{name='count', kind=PARAMETER, scopeLevel=1}
Node: count                | Type: IdentifierNode            | Symbol: Symbol{name='count', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='current', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(current) | Type: PathExprSegNode           | Symbol: Symbol{name='current', kind=PARAMETER, scopeLevel=1}
Node: current              | Type: IdentifierNode            | Symbol: Symbol{name='current', kind=PARAMETER, scopeLevel=1}
Node: Function(quadratic_residue) | Type: FunctionNode              | Symbol: Symbol{name='quadratic_residue', kind=FUNCTION, scopeLevel=0}
Node: quadratic_residue    | Type: IdentifierNode            | Symbol: Symbol{name='quadratic_residue', kind=FUNCTION, scopeLevel=0}
Node: a                    | Type: IdentifierNode            | Symbol: Symbol{name='a', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: p                    | Type: IdentifierNode            | Symbol: Symbol{name='p', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: result               | Type: IdentifierNode            | Symbol: Symbol{name='result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: base                 | Type: IdentifierNode            | Symbol: Symbol{name='base', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
