=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='lambda', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(lambda)  | Type: PathExprSegNode           | Symbol: Symbol{name='lambda', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: lambda               | Type: IdentifierNode            | Symbol: Symbol{name='lambda', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='tortoise', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(tortoise) | Type: PathExprSegNode           | Symbol: Symbol{name='tortoise', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: tortoise             | Type: IdentifierNode            | Symbol: Symbol{name='tortoise', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='lcg_next', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(lcg_next) | Type: PathExprSegNode           | Symbol: Symbol{name='lcg_next', kind=FUNCTION, scopeLevel=0}
Node: lcg_next             | Type: IdentifierNode            | Symbol: Symbol{name='lcg_next', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='tortoise', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(tortoise) | Type: PathExprSegNode           | Symbol: Symbol{name='tortoise', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: tortoise             | Type: IdentifierNode            | Symbol: Symbol{name='tortoise', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='lcg_a', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(lcg_a)   | Type: PathExprSegNode           | Symbol: Symbol{name='lcg_a', kind=PARAMETER, scopeLevel=1}
Node: lcg_a                | Type: IdentifierNode            | Symbol: Symbol{name='lcg_a', kind=PARAMETER, scopeLevel=1}
