=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='seg_cnt', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(seg_cnt) | Type: PathExprSegNode           | Symbol: Symbol{name='seg_cnt', kind=PARAMETER, scopeLevel=1}
Node: seg_cnt              | Type: IdentifierNode            | Symbol: Symbol{name='seg_cnt', kind=PARAMETER, scopeLevel=1}
Node: StructExpr           | Type: StructExprNode            | Symbol: Symbol{name='SegT', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(SegT)    | Type: PathExprSegNode           | Symbol: Symbol{name='SegT', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: SegT                 | Type: IdentifierNode            | Symbol: Symbol{name='SegT', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: FieldVal(l)          | Type: FieldValNode              | Symbol: Symbol{name='l', kind=FIELD, scopeLevel=0}
Node: l                    | Type: IdentifierNode            | Symbol: Symbol{name='l', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='l', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(l)       | Type: PathExprSegNode           | Symbol: Symbol{name='l', kind=PARAMETER, scopeLevel=1}
Node: l                    | Type: IdentifierNode            | Symbol: Symbol{name='l', kind=PARAMETER, scopeLevel=1}
Node: FieldVal(r)          | Type: FieldValNode              | Symbol: Symbol{name='r', kind=FIELD, scopeLevel=0}
Node: r                    | Type: IdentifierNode            | Symbol: Symbol{name='r', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='r', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(r)       | Type: PathExprSegNode           | Symbol: Symbol{name='r', kind=PARAMETER, scopeLevel=1}
Node: r                    | Type: IdentifierNode            | Symbol: Symbol{name='r', kind=PARAMETER, scopeLevel=1}
Node: FieldVal(lc)         | Type: FieldValNode              | Symbol: Symbol{name='lc', kind=FIELD, scopeLevel=0}
Node: lc                   | Type: IdentifierNode            | Symbol: Symbol{name='lc', kind=FIELD, scopeLevel=0}
Node: FieldVal(rc)         | Type: FieldValNode              | Symbol: Symbol{name='rc', kind=FIELD, scopeLevel=0}
Node: rc                   | Type: IdentifierNode            | Symbol: Symbol{name='rc', kind=FIELD, scopeLevel=0}
Node: FieldVal(val)        | Type: FieldValNode              | Symbol: Symbol{name='val', kind=FIELD, scopeLevel=0}
Node: val                  | Type: IdentifierNode            | Symbol: Symbol{name='val', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='val', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(val)     | Type: PathExprSegNode           | Symbol: Symbol{name='val', kind=PARAMETER, scopeLevel=1}
Node: val                  | Type: IdentifierNode            | Symbol: Symbol{name='val', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='seg_cnt', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(seg_cnt) | Type: PathExprSegNode           | Symbol: Symbol{name='seg_cnt', kind=PARAMETER, scopeLevel=1}
Node: seg_cnt              | Type: IdentifierNode            | Symbol: Symbol{name='seg_cnt', kind=PARAMETER, scopeLevel=1}
Node: Function(build)      | Type: FunctionNode              | Symbol: Symbol{name='build', kind=FUNCTION, scopeLevel=0}
Node: build                | Type: IdentifierNode            | Symbol: Symbol{name='build', kind=FUNCTION, scopeLevel=0}
Node: seg_pool             | Type: IdentifierNode            | Symbol: Symbol{name='seg_pool', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(SegT)    | Type: PathExprSegNode           | Symbol: Symbol{name='SegT', kind=STRUCT, scopeLevel=0}
Node: SegT                 | Type: IdentifierNode            | Symbol: Symbol{name='SegT', kind=STRUCT, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='MAXSEG', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(MAXSEG)  | Type: PathExprSegNode           | Symbol: Symbol{name='MAXSEG', kind=CONSTANT, scopeLevel=0}
Node: MAXSEG               | Type: IdentifierNode            | Symbol: Symbol{name='MAXSEG', kind=CONSTANT, scopeLevel=0}
Node: seg_cnt              | Type: IdentifierNode            | Symbol: Symbol{name='seg_cnt', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: l                    | Type: IdentifierNode            | Symbol: Symbol{name='l', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: r                    | Type: IdentifierNode            | Symbol: Symbol{name='r', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='l', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(l)       | Type: PathExprSegNode           | Symbol: Symbol{name='l', kind=PARAMETER, scopeLevel=1}
Node: l                    | Type: IdentifierNode            | Symbol: Symbol{name='l', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='r', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(r)       | Type: PathExprSegNode           | Symbol: Symbol{name='r', kind=PARAMETER, scopeLevel=1}
Node: r                    | Type: IdentifierNode            | Symbol: Symbol{name='r', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='l', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(l)       | Type: PathExprSegNode           | Symbol: Symbol{name='l', kind=PARAMETER, scopeLevel=1}
Node: l                    | Type: IdentifierNode            | Symbol: Symbol{name='l', kind=PARAMETER, scopeLevel=1}
