=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: PathExprSeg(tree)    | Type: PathExprSegNode           | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: tree                 | Type: IdentifierNode            | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: root                 | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(printlnInt) | Type: PathExprSegNode           | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: printlnInt           | Type: IdentifierNode            | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='sum', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(sum)     | Type: PathExprSegNode           | Symbol: Symbol{name='sum', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: sum                  | Type: IdentifierNode            | Symbol: Symbol{name='sum', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: height               | Type: IdentifierNode            | Symbol: Symbol{name='height', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='find_height', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(find_height) | Type: PathExprSegNode           | Symbol: Symbol{name='find_height', kind=FUNCTION, scopeLevel=0}
Node: find_height          | Type: IdentifierNode            | Symbol: Symbol{name='find_height', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(tree)    | Type: PathExprSegNode           | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: tree                 | Type: IdentifierNode            | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(tree)    | Type: PathExprSegNode           | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: tree                 | Type: IdentifierNode            | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: root                 | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(printlnInt) | Type: PathExprSegNode           | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: printlnInt           | Type: IdentifierNode            | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='height', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(height)  | Type: PathExprSegNode           | Symbol: Symbol{name='height', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: height               | Type: IdentifierNode            | Symbol: Symbol{name='height', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: search_val           | Type: IdentifierNode            | Symbol: Symbol{name='search_val', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: found                | Type: IdentifierNode            | Symbol: Symbol{name='found', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(bool)    | Type: PathExprSegNode           | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: bool                 | Type: IdentifierNode            | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='find_value', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(find_value) | Type: PathExprSegNode           | Symbol: Symbol{name='find_value', kind=FUNCTION, scopeLevel=0}
Node: find_value           | Type: IdentifierNode            | Symbol: Symbol{name='find_value', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(tree)    | Type: PathExprSegNode           | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: tree                 | Type: IdentifierNode            | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(tree)    | Type: PathExprSegNode           | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: tree                 | Type: IdentifierNode            | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: root                 | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='search_val', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(search_val) | Type: PathExprSegNode           | Symbol: Symbol{name='search_val', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: search_val           | Type: IdentifierNode            | Symbol: Symbol{name='search_val', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='found', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(found)   | Type: PathExprSegNode           | Symbol: Symbol{name='found', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: found                | Type: IdentifierNode            | Symbol: Symbol{name='found', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(printlnInt) | Type: PathExprSegNode           | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: printlnInt           | Type: IdentifierNode            | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='search_val', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(search_val) | Type: PathExprSegNode           | Symbol: Symbol{name='search_val', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: search_val           | Type: IdentifierNode            | Symbol: Symbol{name='search_val', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(printlnInt) | Type: PathExprSegNode           | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: printlnInt           | Type: IdentifierNode            | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: root                 | Type: IdentifierNode            | Symbol: Symbol{name='root', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(tree)    | Type: PathExprSegNode           | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: tree                 | Type: IdentifierNode            | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: root                 | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='mirror_tree', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(mirror_tree) | Type: PathExprSegNode           | Symbol: Symbol{name='mirror_tree', kind=FUNCTION, scopeLevel=0}
Node: mirror_tree          | Type: IdentifierNode            | Symbol: Symbol{name='mirror_tree', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
