=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Function(pm_rand_update) | Type: FunctionNode              | Symbol: Symbol{name='pm_rand_update', kind=FUNCTION, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(active)        | Type: FieldNode                 | Symbol: Symbol{name='active', kind=FIELD, scopeLevel=0}
Node: active               | Type: IdentifierNode            | Symbol: Symbol{name='active', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(bool)    | Type: PathExprSegNode           | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: bool                 | Type: IdentifierNode            | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Struct(World)        | Type: StructNode                | Symbol: Symbol{name='World', kind=STRUCT, scopeLevel=0}
Node: World                | Type: IdentifierNode            | Symbol: Symbol{name='World', kind=STRUCT, scopeLevel=0}
Node: Field(grid)          | Type: FieldNode                 | Symbol: Symbol{name='grid', kind=FIELD, scopeLevel=0}
Node: grid                 | Type: IdentifierNode            | Symbol: Symbol{name='grid', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='GRID_WIDTH_USIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(GRID_WIDTH_USIZE) | Type: PathExprSegNode           | Symbol: Symbol{name='GRID_WIDTH_USIZE', kind=CONSTANT, scopeLevel=0}
Node: GRID_WIDTH_USIZE     | Type: IdentifierNode            | Symbol: Symbol{name='GRID_WIDTH_USIZE', kind=CONSTANT, scopeLevel=0}
